Phase,T,Fe,Ni,Si,P,C,S,Ca,Cr,Mn,Total,log fO2,Press
metals,1500,78.90,4.03,15.10,0.14,0.00,0.00,0.00,0.78,0.00,98.95,-8.79609,0.000101325
metals,1500,71.20,3.95,8.67,11.50,0.00,0.06,0.00,3.16,0.00,98.54,-8.79609,0.000101325
metals,1450,85.00,4.86,7.65,0.20,0.00,0.00,0.00,0.92,0.00,98.63,-9.241776,0.000101325
metals,1450,70.90,4.79,3.01,13.00,0.00,0.00,0.00,5.42,0.00,97.12,-9.241776,0.000101325
metals,1425,86.30,6.04,5.11,0.13,0.00,0.05,0.00,0.34,0.00,97.97,-9.47471,0.000101325
metals,1425,92.70,2.07,0.82,0.00,3.30,0.00,0.00,0.00,0.00,98.89,-9.47471,0.000101325
metals,1400,87.20,6.90,5.41,0.14,0.00,0.00,0.00,0.16,0.00,99.81,-9.71482,0.000101325
metals,1400,89.60,4.58,2.12,0.92,1.80,0.36,0.00,0.00,0.00,99.38,-9.71482,0.000101325
metals,1300,87.00,6.51,4.69,0.12,0.00,0.00,0.00,0.19,0.00,98.51,-10.7537,0.000101325
metals,1300,86.60,4.46,1.27,4.51,2.20,0.15,0.00,0.00,0.00,99.19,-10.7537,0.000101325
metals,1300,82.80,5.51,2.23,7.60,0.00,0.14,0.00,0.26,0.00,98.54,-10.7537,0.000101325
metals,1200,87.60,6.65,5.16,0.19,0.00,0.00,0.00,0.07,0.00,99.67,-11.9375,0.000101325
metals,1200,85.90,5.66,2.76,4.90,1.30,0.18,0.00,0.00,0.00,100.70,-11.9375,0.000101325
metals,1200,83.90,5.50,1.84,8.51,0.00,0.27,0.00,0.06,0.00,100.08,-11.9375,0.000101325
metals,1100,89.00,5.96,3.04,0.31,0.00,0.00,0.00,0.00,0.00,98.31,-13.29891,0.000101325
metals,1000,90.60,6.26,1.48,0.63,0.00,0.00,0.00,0.00,0.00,98.97,-14.8776,0.000101325
sulfides,1500,5.99,0.00,0.00,0.00,0.00,34.50,0.00,9.25,46.60,96.34,-8.79609,0.000101325
sulfides,1425,57.00,0.89,0.00,0.00,0.00,35.80,0.00,2.85,1.64,98.18,-9.47471,0.000101325
sulfides,1425,38.10,0.12,0.00,0.00,0.00,37.00,1.76,2.49,17.00,96.47,-9.47471,0.000101325
sulfides,1400,55.90,1.26,0.00,0.00,0.00,36.50,0.00,4.09,1.33,99.08,-9.71482,0.000101325
sulfides,1400,35.50,0.30,0.00,0.00,0.00,37.80,2.62,13.33,15.70,105.25,-9.71482,0.000101325
sulfides,1300,52.60,1.01,0.00,0.00,0.00,36.80,0.00,6.41,1.14,97.96,-10.7537,0.000101325
sulfides,1300,33.90,0.26,0.00,0.00,0.00,38.40,4.92,3.85,12.80,94.13,-10.7537,0.000101325
sulfides,1200,57.00,1.55,0.00,0.00,0.00,36.50,0.00,2.31,0.67,98.03,-11.9375,0.000101325
sulfides,1200,25.60,0.07,0.00,0.00,0.00,41.60,12.40,2.36,7.67,89.70,-11.9375,0.000101325
sulfides,1200,34.10,0.15,0.00,0.00,0.00,40.00,8.78,1.84,8.24,93.11,-11.9375,0.000101325
sulfides,1100,57.40,0.93,0.00,0.00,0.00,36.60,0.00,2.61,0.92,98.46,-13.29891,0.000101325
sulfides,1100,27.90,0.08,0.00,0.00,0.00,39.90,10.40,3.53,12.10,93.91,-13.29891,0.000101325
sulfides,1000,58.10,0.78,0.00,0.00,0.00,36.60,0.08,2.82,0.93,99.31,-14.8776,0.000101325
sulfides,1000,38.10,0.06,0.00,0.00,0.00,38.80,4.79,4.84,9.58,96.17,-14.8776,0.000101325
